,BUSCA,cnpj,Faturamento,Funcionarios,TotalProtesto,ValorProtesto
0,ECOPLAN SA,13.439.155/0001-70,,,-,
1,CARTROM EMBALAGENS,09.121.243/0001-52,,,0,-
2,CORGRAF GRAFICA E EDITORA LTDA,00.330.966/0001-97,,,0,-
3,QUALITERMO SOLUCOES EM PLASTICOS DE ENGENHARIA LTDA,73.345.415/0001-70,,,0,-
4,JJP INDUSTRIA E COMERCIO DE PLÁSTICOS EIRELI,04.576.795/0001-31,,,0,-
5,SULGLASS INDUSTRIA E COMERCIO DE VIDROS EPP LTDA,08.584.497/0001-44,,,0,-
6,ARAMEPAR INDUSTRIA E COMERCIO DE ARAMES LTDA,03.169.698/0001-61,,,0,-
7,BRASDUTO INDUSTRIA E COMERCIO DE PRODUTOS METALURGICOS LTDA,04.575.982/0001-09,,,-,
8,INCAPACK INDUSTRIA DE EMBALAGENS PLASTICAS EIRELI,82.370.743/0001-18,,,1,"693.724,74"
9,GARRA COMPONENTES INDUSTRIAIS,02.618.946/0001-41,,,61,"88.863,06"
10,WHB FUNDICAO SA,01.485.633/0001-08,,,0,-
11,GRAFICA MONALISA,05.352.044/0001-02,,,-,
12,HIFERSANE COMERCIO E INDUSTRIA DE MATERIAIS HIDRAULICOS LTDA,00.532.518/0001-76,,,-,
13,MULTICASE SYSTEMS PARANA EIRELI EPP,04.398.321/0001-47,,,13,"2.882.882,96"
14,GMA IND E COM DE ARTEFATOS PLASTICOS E METAIS LTDA,73.282.196/0001-28,,,153,"10.800.919,07"
15,MULTICASE SYSTEMS PARANA EIRELI EPP,04.398.321/0001-47,,,13,"2.882.882,96"
16,AEROFLEX INDUSTRIA DE AEROSOL LTDA,07.872.967/0001-02,,,0,-
17,METALURGICA STORI LTDA IMES,80.183.528/0001-82,,,0,-
18,FRIGORIFICO ARGUS LTDA,81.304.552/0001-95,,,0,-
19,DURLICOUROS IND E COM DE COUROS EXP E IMPORTACAO LTDA,00.105.229/0001-90,,,15,"1.036.551,17"
20,PLÁSTICOS DO PARANÁ,77.965.077/0001-20,,,0,-
21,CAROL IND E COM DE SORVETES BAPKA,02.660.769/0001-61,,,-,
22,PROCOPIO EMBALAGENS,03.941.878/0001-10,,,0,-
23,CASSOL PRE FABRICADOS,86.183.449/0001-58,,,3,"21.045,09"
24,MAGIUS METALURGICA INDUSTRIAL,81.312.894/0001-57,,,0,-
25,AMERICAN GLASS PRODUCTS DO BRASIL LTDA,01.483.048/0001-60,,,104,"506.150,31"
26,STOBAG DO BRASIL LTDA,05.531.743/0001-01,,,0,-
27,IGASA S A INDUSTRIA E COMERCIO DE AUTO PECAS,76.547.397/0001-06,,,18,"5.537.429,52"
28,SIMOLDES ACOS BRASIL LTDA,02.810.621/0001-66,,,25,"277.423,00"
29,ISOGAMA INDUSTRIA QUIMICA LTDA,80.228.893/0001-66,,,0,-
30,PLASTMOVEIS INDUSTRIA E COMERCIO LTDA  RolandiaPR,01.297.945/0001-80,,,76,"1.960.105,88"
