,cnpj,Faturamento,Funcionarios,TotalProtesto,ValorProtesto,BUSCA
0,12.289.084/0001-04,de 4.800.000 até 10.000.000,acima de 500,674,"1.561.585,31",G DA SILVA CALCADOS EIRELI
1,19.211.781/0001-91,de 1.500.000 até 4.800.000,de 10 até 50,95,"427.011,82",19211781000191
2,01.978.934/0001-65,de 81.000 até 360.000,de 10 até 50,44,"2.241.679,36",01978934000165
3,30.866.312/0001-43,de 81.000 até 360.000,de 10 até 50,0,-,30866312000143
4,06.337.280/0004-57,de 100.000.000 até 300.000.000,de 10 até 50,1,"5.069,19",06337280000457
5,76.102.839/0001-00,de 30.000.000 até 100.000.000,de 100 até 500,-,,76102839000100
6,10.363.237/0001-90,de 81.000 até 360.000,de 0 até 5,-,,10363237000190
7,80.391.956/0001-09,de 10.000.000 até 30.000.000,de 100 até 500,18,"4.149.908,71",80391956000109
8,05.885.677/0001-78,de 81.000 até 360.000,de 10 até 50,0,-,05885677000178
9,82.601.345/0002-46,de 10.000.000 até 30.000.000,de 50 até 100,22,"12.472.511,84",82601345000246
10,15.142.831/0001-75,de 10.000.000 até 30.000.000,de 50 até 100,-,,15142831000175
11,02.147.467/0001-94,acima de 1.000.000.000,de 100 até 500,22,"104.828,44",02147467000194
12,03.260.359/0001-96,de 4.800.000 até 10.000.000,de 50 até 100,0,-,03260359000196
13,09.512.705/0001-62,de 81.000 até 360.000,de 10 até 50,27,"125.274,94",09512705000162
14,00.220.359/0001-74,de 30.000.000 até 100.000.000,de 10 até 50,0,-,00220359000174
15,85.486.728/0001-28,de 1.500.000 até 4.800.000,de 50 até 100,0,-,85486728000128
16,17.334.187/0001-62,de 360.000 até 1.500.000,de 0 até 5,-,,IMES Ltda
17,17.322.957/0001-57,de 4.800.000 até 10.000.000,de 50 até 100,0,-,17322957000157
18,07.813.191/0001-50,de 81.000 até 360.000,de 10 até 50,-,,07813191000150
19,04.286.427/0001-59,de 81.000 até 360.000,de 0 até 5,0,-,04286427000159
20,02.596.390/0001-30,de 1.500.000 até 4.800.000,de 10 até 50,62,"454.363,44",AÇOS PINHAIS
21,06.137.625/0001-86,de 81.000 até 360.000,de 10 até 50,-,,06137625000186
22,02.440.194/0001-71,de 10.000.000 até 30.000.000,de 100 até 500,0,-,02440194000171
23,80.331.358/0003-06,de 360.000 até 1.500.000,de 5 até 10,-,,80331358000306
24,02.584.707/0001-18,de 81.000 até 360.000,de 10 até 50,2,"705,66",02584707000118
25,15.659.566/0001-05,de 360.000 até 1.500.000,de 10 até 50,-,,15659566000105
26,14.069.148/0001-97,de 81.000 até 360.000,de 10 até 50,2,"41.054,39",14069148000197
27,02.338.949/0001-21,de 81.000 até 360.000,de 0 até 5,-,,Aica Alimentos
28,76.492.131/0001-03,de 1.500.000 até 4.800.000,de 10 até 50,98,"455.796,69",76492131000103
29,16.988.547/0001-87,de 1.500.000 até 4.800.000,de 10 até 50,0,-,16988547000187
30,01.409.892/0001-41,de 4.800.000 até 10.000.000,de 100 até 500,0,-,01409892000141
31,03.884.666/0001-48,de 1.500.000 até 4.800.000,de 10 até 50,0,-,03884666000148
32,01.956.679/0001-50,de 4.800.000 até 10.000.000,de 50 até 100,0,-,01956679000150
33,08.765.099/0001-24,de 81.000 até 360.000,de 5 até 10,-,,08765099000124
34,28.720.533/0001-67,de 81.000 até 360.000,de 0 até 5,-,,28720533000167
35,23.790.785/0001-49,de 0 até 81.000,de 0 até 5,-,,PROCÓPIO COM IND DE SACARIAS LTDA
36,82.056.185/0001-10,de 10.000.000 até 30.000.000,de 100 até 500,376,"19.794.417,33",82056185000110
37,85.128.981/0001-00,de 0 até 81.000,de 5 até 10,5,"2.157,02",85128981000100
38,72.675.036/0001-86,de 81.000 até 360.000,de 0 até 5,-,,BIO CARB IND QUIMICA LTDA
39,76.719.525/0001-43,de 30.000.000 até 100.000.000,de 100 até 500,0,-,Laboratórios Calbos Ltda
40,01.674.524/0001-20,de 10.000.000 até 30.000.000,de 50 até 100,14,"3.772.233,19",01674524000120
41,73.282.196/0001-28,de 0 até 81.000,de 10 até 50,153,"10.800.919,07",73282196000128
42,13.236.873/0001-40,de 81.000 até 360.000,de 10 até 50,51,"54.990,93",13236873000140
43,13.549.636/0001-39,de 1.500.000 até 4.800.000,de 10 até 50,0,-,13549636000139
44,24.824.259/0001-15,de 81.000 até 360.000,de 10 até 50,-,,24824259000115
45,17.096.579/0001-30,de 360.000 até 1.500.000,de 5 até 10,-,,17096579000130
46,21.118.268/0001-00,de 1.500.000 até 4.800.000,de 10 até 50,0,-,21118268000100
47,00.325.400/0001-77,de 30.000.000 até 100.000.000,de 100 até 500,133,"20.336.992,23",00325400000177
48,02.178.116/0001-40,de 10.000.000 até 30.000.000,de 50 até 100,101,"20.042.717,92",02178116000140
49,00.477.761/0001-39,de 30.000.000 até 100.000.000,de 100 até 500,0,-,00477761000139
