,CnpjCpf,Nome,NomeFantasia,Logradouro,NumeroLogradouro,ComplementoEndereco,BairroEndereco,MunicipioEndereco,UfEndereco,TelefonePrincipal,EmailPrincipal,Site,ReceitaSituacao,ReceitaDataSituacao,ReceitaMotivoSituacao,ReceitaTipo,ReceitaAbertura,ReceitaNaturezaJuridica,ReceitaEFR,ReceitaSituacaoEspecial,ReceitaDataSituacaoEspecial,ReceitaCapitalSocial,CadastroRaizCNPJ_Id,Nire,OpcaoTributaria,SimplesNacional,SIMEI,SimplesNacionalSIMEIConsultaDe,Porte,ReceitaAtividade,ReceitaAtividadeSecundaria,VaduAtividadeCNAE,ReceitaMatrizCapitalSocial,CepEnderecoFormatado,Socios,CodIbge
0,01.314.776/0001-49,DICARLO MOVEIS E ACESSORIOS PARA CASA E LOJAS LTDA EM RECUPERACAO JUDICIAL,,R DOUTOR BLUMENAU,6780,,ENCANO,INDAIAL,SC,(47) 3325-2048,,,ATIVA,2005-08-06T00:00:00.000,,MATRIZ,1996-07-08T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,1500000.0,1314776,42.202.192.568,,False,False,2019-11-28T11:18:14.000,DEMAIS,"31.02-1/00 Fabricação de móveis com predominância de metal
","46.49-4/04 Comércio atacadista de móveis e artigos de colchoaria
47.54-7/01 Comércio varejista de móveis
52.11-7/99 Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis
31.01-2/00 Fabricação de móveis com predominância de madeira
95.29-1/05 Reparação de artigos do mobiliário
25.39-0/01 Serviços de usinagem, torneiria e solda
49.30-2/02 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional
25.39-0/02 Serviços de tratamento e revestimento em metais
33.29-5/01 Serviços de montagem de móveis de qualquer material
74.10-2/03 Desing de produto
64.62-0/00 Holdings de instituições não financeiras
",Indústria,1500000.0,89086-635,"[{'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '05-Administrador', 'Nome': 'CAS PARTICIPACOES LTDA', 'NomeRepresentanteLegal': 'ANILVO DE SOUSA'}, {'Qualificacao': '05-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'ANILVO DE SOUSA', 'NomeRepresentanteLegal': None}]",4207502
1,00.061.315/0001-49,GSM - CENTRO DE RECICLAGEM E GESTAO AMBIENTAL DE RESIDUOS S/A,,R SLEIMAN FAYAD,499,BARRACAO,GUATUPE,SAO JOSE DOS PINHAIS,PR,(41) 3587-0075,gsm@gsmreciclagem.com.br,www.gsmreciclagem.com.br,ATIVA,2001-03-30T00:00:00.000,,MATRIZ,1994-02-01T00:00:00.000,205-4 - Sociedade Anônima Fechada,,,,12220000.0,61315,41.300.093.253,LUCRO REAL,False,False,2020-04-03T08:51:15.000,DEMAIS,"46.87-7/03 Comércio atacadista de resíduos e sucatas metálicos
","24.41-5/01 Produção de alumínio e suas ligas em formas primárias
49.30-2/02 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional
38.31-9/01 Recuperação de sucatas de alumínio
46.73-7/00 Comércio atacadista de material elétrico
47.42-3/00 Comércio varejista de material elétrico
",Comércio,12220000.0,83060-350,"[{'Qualificacao': '10-Diretor', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'SANDRO WILLIAMS BULYK', 'NomeRepresentanteLegal': None}, {'Qualificacao': '10-Diretor', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'FABIO MEDINA ALBERTO', 'NomeRepresentanteLegal': None}]",4125506
2,00.863.529/0001-39,GIPLAS INDUSTRIA E COMERCIO LTDA,,R GUSTAVO ZIMMERMANN,6419,,ITOUPAVA CENTRAL,BLUMENAU,SC,,,,ATIVA,2003-10-04T00:00:00.000,,MATRIZ,1995-10-10T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,5500000.0,863529,42.202.087.012,LUCRO PRESUMIDO,False,False,2018-11-20T00:00:00.000,DEMAIS,"22.29-3/01 Fabricação de artefatos de material plástico para uso pessoal e doméstico
","00.00-0/00 Não informada
",Indústria,5500000.0,89063-000,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'RUBENS GIESE', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'OSNI SCHWANKE', 'NomeRepresentanteLegal': None}]",4202404
3,83.109.579/0001-52,VEDAX INDUSTRIA E COMERCIO EIRELI,,R TEREZA FISCHER,127,,ITOUPAVA CENTRAL,BLUMENAU,SC,(47) 3144-6900,,,ATIVA,2004-12-31T00:00:00.000,,MATRIZ,1975-05-16T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,,,200000.0,83109579,42.600.106.629,LUCRO REAL,False,False,2020-07-30T16:28:16.000,DEMAIS,"28.29-1/99 Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios
","27.10-4/03 Fabricação de motores elétricos, peças e acessórios
",Indústria,200000.0,89062-080,"[{'Qualificacao': '65-Titular Pessoa Física Residente ou Domiciliado no Brasil', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'LEANDRO JAEGER', 'NomeRepresentanteLegal': None}]",4202404
4,88.371.075/0001-20,"WINTER,SELBACH, SEIDL & CIA.LTDA.",CERAMICA WINTER A PIONEIRA,EST SANTA LUCIA,890,,SANTA LUCIA,BOM PRINCIPIO,RS,(51) 3635-1202,,,ATIVA,2005-01-21T00:00:00.000,,MATRIZ,1975-04-18T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,100000.0,88371075,43.200.300.861,SIMPLES NACIONAL,,,,EPP,"23.42-7/02 Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos
","46.79-6/99 Comércio atacadista de materiais de construção em geral
23.30-3/02 Fabricação de artefatos de cimento para uso na construção
",Indústria,100000.0,95765-000,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'CELSO ALFREDO SELBACH', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'RENATO IZIDORO SEIDL', 'NomeRepresentanteLegal': None}]",4302352
5,86.837.366/0001-35,ALENICE INDUSTRIA TEXTIL EIRELI,ALENICE,R RODOLFO TEPASSE,111,,IMIGRANTES,GUARAMIRIM,SC,(047) 3730-768,,,ATIVA,2005-02-19T00:00:00.000,,MATRIZ,1994-03-08T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,,,11500000.0,86837366,42.600.608.756,LUCRO PRESUMIDO,False,False,2018-11-20T00:00:00.000,DEMAIS,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
","14.12-6/03 Facção de peças do vestuário, exceto roupas íntimas
77.39-0/99 Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador
46.42-7/01 Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança
47.81-4/00 Comércio varejista de artigos do vestuário e acessórios
13.40-5/01 Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário
14.14-2/00 Fabricação de acessórios do vestuário, exceto para segurança e proteção
13.30-8/00 Fabricação de tecidos de malha
64.62-0/00 Holdings de instituições não financeiras
13.40-5/99 Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário
13.21-9/00 Tecelagem de fios de algodão
",Indústria,11500000.0,89270-000,"[{'Qualificacao': '65-Titular Pessoa Física Residente ou Domiciliado no Brasil', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'EVARISTO CAVIQUIOLI', 'NomeRepresentanteLegal': None}]",4206504
6,10.955.794/0001-09,GOLD SUL INDUSTRIA PLASTICA LTDA,,R CAI,650,,DISTRITO INDUSTRIAL,CACHOEIRINHA,RS,(51) 3471-6093,,,ATIVA,2009-07-02T00:00:00.000,,MATRIZ,2009-07-02T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,1000000.0,10955794,43.206.426.076,,False,False,2019-11-21T08:30:14.000,DEMAIS,"22.29-3/99 Fabricação de artefatos de material plástico para outros usos não especificados anteriormente
","28.40-2/00 Fabricação de máquinas-ferramenta, peças e acessórios
20.31-2/00 Fabricação de resinas termoplásticas
33.19-8/00 Manutenção e reparação de equipamentos e produtos não especificados anteriormente
49.30-2/02 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional
",Indústria,1000000.0,94940-030,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'LIS BARCELLOS SEGALA', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'JAIR ONEIDE HOCH', 'NomeRepresentanteLegal': None}]",4303103
7,91.956.755/0001-10,INTERMACH PECAS AUTOMOTIVAS LTDA,INTERMACH,R JOAO MENEGHINI (LOT SAINT'ETIENNE),428,,INTERLAGOS,CAXIAS DO SUL,RS,(54) 3013-6400,marcos@intermach.ind.br,,ATIVA,2005-11-03T00:00:00.000,,MATRIZ,1987-09-24T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,100000.0,91956755,43.201.383.875,,False,False,2020-08-17T12:14:25.000,EPP,"29.41-7/00 Fabricação de peças e acessórios para o sistema motor de veículos automotores
","28.29-1/99 Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios
45.30-7/01 Comércio por atacado de peças e acessórios novos para veículos automotores
46.89-3/99 Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente
45.30-7/03 Comércio a varejo de peças e acessórios novos para veículos automotores
45.30-7/04 Comércio a varejo de peças e acessórios usados para veículos automotores
74.90-1/03 Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias
32.99-0/99 Fabricação de produtos diversos não especificados anteriormente
47.89-0/99 Comércio varejista de outros produtos não especificados anteriormente
25.39-0/01 Serviços de usinagem, torneiria e solda
",Indústria,100000.0,95055-330,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'MARCOS ANTONIO ANDREIS', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'LENNON HILLMAN', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'GUSTAVO SCHEIFLER', 'NomeRepresentanteLegal': None}]",4305108
8,73.282.196/0001-28,GMA IND E COM DE ARTEFATOS PLASTICOS E METAIS LTDA,GMA TECNOLOGIA EM TERMOPLASTICOS,R JOINVILE,4100,,BRAGA,SAO JOSE DOS PINHAIS,PR,,,,ATIVA,2005-11-03T00:00:00.000,,MATRIZ,1993-08-26T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,350000.0,73282196,41.202.965.621,LUCRO REAL,False,False,2019-01-10T14:50:01.000,DEMAIS,"22.29-3/01 Fabricação de artefatos de material plástico para uso pessoal e doméstico
",,Indústria,350000.0,83020-000,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'ALFREDO GLOCKNER', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'JOSE MARIA FERNANDES CAXILE', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'LUIZ HENRIQUE MULLER', 'NomeRepresentanteLegal': None}]",4125506
9,00.826.619/0001-50,VITALMAR COMERCIO E INDUSTRIA DE PESCADOS LTDA,,R DAVID ADAO SCHMIDT,620,,NOVA BRASILIA,ITAJAI,SC,,,www.vitalmar.com.br,ATIVA,2005-11-03T00:00:00.000,,MATRIZ,1995-09-27T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,14000000.0,826619,42.202.070.161,,False,False,2019-11-26T11:33:22.000,DEMAIS,"10.20-1/01 Preservação de peixes, crustáceos e moluscos
","46.34-6/03 Comércio atacadista de pescados e frutos do mar
64.62-0/00 Holdings de instituições não financeiras
",Indústria,14000000.0,88305-410,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'MARIA ELENA VITALI', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'DARIO LUIZ VITALI', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'VITALMAR PARTICIPACOES LTDA', 'NomeRepresentanteLegal': None}]",4208203
