,cnpj,faturamento,funcionarios,total_protesto,valor_protesto
0,83.538.215/0001-98,de 10.000.000 até 30.000.000,de 100 até 500,173,"17.439.911,20"
1,95.801.692/0001-83,de 1.500.000 até 4.800.000,de 10 até 50,216,"511.052,68"
2,04.069.595/0001-92,de 4.800.000 até 10.000.000,de 50 até 100,230,"9.008.691,63"
3,02.544.522/0001-80,de 4.800.000 até 10.000.000,de 50 até 100,0,-
4,04.385.881/0001-67,de 10.000.000 até 30.000.000,de 50 até 100,0,-
5,03.041.024/0001-87,de 10.000.000 até 30.000.000,de 100 até 500,66,"380.945,27"
6,01.533.865/0001-86,de 30.000.000 até 100.000.000,de 100 até 500,0,-
7,77.753.804/0001-96,de 4.800.000 até 10.000.000,de 100 até 500,0,-
8,07.118.669/0001-21,de 1.500.000 até 4.800.000,de 10 até 50,0,-
9,21.581.339/0001-07,de 81.000 até 360.000,de 10 até 50,16,"363.476,09"
10,84.583.616/0001-22,de 1.500.000 até 4.800.000,de 50 até 100,19,"4.469.465,80"
11,85.128.981/0001-00,de 0 até 81.000,de 5 até 10,5,"2.157,02"
12,05.735.263/0001-62,de 1.500.000 até 4.800.000,de 10 até 50,163,"252.640,73"
13,08.157.644/0001-08,de 10.000.000 até 30.000.000,de 50 até 100,52,"1.180.825,98"
14,83.201.111/0001-93,de 100.000.000 até 300.000.000,de 100 até 500,0,-
15,08.650.630/0001-13,de 1.500.000 até 4.800.000,de 10 até 50,14,"54.978,21"
16,80.481.146/0001-35,de 10.000.000 até 30.000.000,de 100 até 500,0,-
17,22.226.515/0001-47,de 4.800.000 até 10.000.000,de 50 até 100,0,-
18,05.409.888/0002-15,de 10.000.000 até 30.000.000,de 50 até 100,0,-
19,02.209.188/0001-08,de 360.000 até 1.500.000,de 10 até 50,0,-
20,17.797.304/0001-24,de 30.000.000 até 100.000.000,de 50 até 100,0,-
21,21.189.130/0001-94,de 1.500.000 até 4.800.000,de 10 até 50,0,-
22,23.635.798/0001-43,de 10.000.000 até 30.000.000,de 100 até 500,0,-
23,09.009.247/0001-43,de 4.800.000 até 10.000.000,de 100 até 500,0,-
24,79.416.459/0001-20,de 100.000.000 até 300.000.000,de 100 até 500,0,-
25,05.488.486/0001-72,de 100.000.000 até 300.000.000,de 100 até 500,13,"1.119.692,05"
26,00.087.731/0001-16,de 30.000.000 até 100.000.000,de 100 até 500,0,-
27,02.708.859/0001-85,de 360.000 até 1.500.000,de 5 até 10,0,-
28,02.809.886/0001-44,de 1.500.000 até 4.800.000,de 10 até 50,0,-
29,04.475.667/0001-00,de 10.000.000 até 30.000.000,de 100 até 500,0,-
30,02.385.570/0001-72,de 30.000.000 até 100.000.000,de 100 até 500,0,-
31,81.365.223/0001-54,de 30.000.000 até 100.000.000,de 100 até 500,0,-
32,14.028.218/0001-69,de 81.000 até 360.000,de 10 até 50,0,-
33,13.549.636/0001-39,de 1.500.000 até 4.800.000,de 10 até 50,0,-
34,05.097.311/0001-34,de 100.000.000 até 300.000.000,de 50 até 100,0,-
35,78.839.776/0001-97,de 360.000 até 1.500.000,de 10 até 50,0,-
36,04.954.155/0001-18,de 30.000.000 até 100.000.000,de 100 até 500,0,-
37,09.364.298/0001-93,de 10.000.000 até 30.000.000,de 100 até 500,1,"127.470,42"
38,58.783.333/0001-14,de 1.500.000 até 4.800.000,de 10 até 50,0,-
39,10.624.194/0001-50,de 360.000 até 1.500.000,de 10 até 50,25,"125.692,90"
40,95.858.452/0001-15,de 1.500.000 até 4.800.000,de 10 até 50,11,"1.410.053,30"
41,04.196.193/0001-59,de 1.500.000 até 4.800.000,de 10 até 50,39,"528.466,37"
42,12.959.355/0001-91,de 10.000.000 até 30.000.000,acima de 500,0,-
43,01.209.557/0001-08,de 81.000 até 360.000,de 10 até 50,48,"108.074,99"
44,12.181.973/0001-53,de 10.000.000 até 30.000.000,de 50 até 100,0,-
45,80.218.514/0001-57,de 10.000.000 até 30.000.000,de 50 até 100,0,-
46,10.939.960/0001-75,de 0 até 81.000,de 10 até 50,0,-
47,76.573.427/0001-40,de 360.000 até 1.500.000,de 5 até 10,0,-
48,10.778.133/0001-47,de 81.000 até 360.000,de 10 até 50,0,-
49,11.165.831/0001-30,de 81.000 até 360.000,de 10 até 50,94,"1.252.045,85"
50,74.170.812/0001-11,de 30.000.000 até 100.000.000,de 100 até 500,45,"557.518,05"
51,79.922.639/0001-84,de 100.000.000 até 300.000.000,de 100 até 500,0,-
52,10.766.788/0001-03,de 360.000 até 1.500.000,de 5 até 10,0,-
53,10.423.004/0001-36,de 1.500.000 até 4.800.000,de 10 até 50,41,"249.877,03"
54,03.509.540/0001-93,de 10.000.000 até 30.000.000,de 50 até 100,0,-
55,09.531.491/0001-71,de 81.000 até 360.000,de 10 até 50,0,-
56,04.108.375/0001-20,de 10.000.000 até 30.000.000,de 50 até 100,0,-
57,95.806.675/0001-39,de 1.500.000 até 4.800.000,de 50 até 100,0,-
58,82.637.422/0001-37,de 1.500.000 até 4.800.000,de 10 até 50,7,"526.046,00"
59,10.882.878/0001-51,de 1.500.000 até 4.800.000,de 10 até 50,0,-
60,83.030.817/0001-30,de 4.800.000 até 10.000.000,acima de 500,0,-
61,01.152.664/0001-39,de 1.500.000 até 4.800.000,de 100 até 500,104,"1.580.608,38"
62,08.766.561/0001-08,de 10.000.000 até 30.000.000,de 50 até 100,35,"5.042.765,77"
63,09.533.927/0001-61,de 1.500.000 até 4.800.000,de 10 até 50,0,-
64,02.166.703/0001-10,de 1.500.000 até 4.800.000,de 10 até 50,10,"18.815,48"
65,01.833.002/0001-24,de 1.500.000 até 4.800.000,de 10 até 50,0,-
66,84.292.259/0001-43,de 1.500.000 até 4.800.000,de 10 até 50,0,-
67,16.803.266/0001-02,de 4.800.000 até 10.000.000,de 10 até 50,0,-
68,11.110.960/0001-20,de 1.500.000 até 4.800.000,de 10 até 50,0,-
69,94.576.196/0001-00,de 360.000 até 1.500.000,de 10 até 50,106,"749.828,85"
70,02.448.442/0001-20,de 1.500.000 até 4.800.000,de 10 até 50,0,-
71,12.012.667/0001-93,de 360.000 até 1.500.000,de 10 até 50,49,"116.797,53"
72,05.319.720/0001-38,de 1.500.000 até 4.800.000,de 10 até 50,0,-
73,22.029.488/0001-12,de 4.800.000 até 10.000.000,de 100 até 500,548,"650.364,64"
74,08.795.206/0001-67,de 1.500.000 até 4.800.000,de 50 até 100,4,"254.739,53"
75,17.047.353/0001-40,de 10.000.000 até 30.000.000,de 100 até 500,24,"1.273.508,71"
76,83.892.182/0001-80,de 30.000.000 até 100.000.000,de 100 até 500,1,"1.257,92"
77,03.046.744/0001-35,de 1.500.000 até 4.800.000,de 10 até 50,0,-
78,06.143.681/0001-23,de 360.000 até 1.500.000,de 10 até 50,79,"1.027.454,40"
79,82.662.263/0001-20,de 30.000.000 até 100.000.000,de 50 até 100,0,-
80,10.428.174/0001-03,de 360.000 até 1.500.000,de 10 até 50,0,-
81,13.601.614/0001-70,de 81.000 até 360.000,de 10 até 50,217,"920.604,70"
82,82.103.631/0001-09,de 360.000 até 1.500.000,de 10 até 50,0,-
83,12.788.472/0001-30,de 4.800.000 até 10.000.000,de 50 até 100,38,"2.495.191,34"
84,09.010.211/0001-80,de 1.500.000 até 4.800.000,de 10 até 50,0,-
85,18.475.469/0001-42,de 4.800.000 até 10.000.000,de 50 até 100,0,-
86,01.693.525/0001-12,de 4.800.000 até 10.000.000,de 50 até 100,0,-
87,00.849.791/0001-29,de 360.000 até 1.500.000,de 10 até 50,0,-
88,09.232.271/0001-47,de 1.500.000 até 4.800.000,de 50 até 100,0,-
89,07.805.011/0001-98,de 1.500.000 até 4.800.000,de 10 até 50,0,-
90,04.330.681/0001-07,de 360.000 até 1.500.000,de 10 até 50,0,-
91,85.370.559/0001-66,de 360.000 até 1.500.000,de 10 até 50,0,-
92,09.545.429/0001-39,de 4.800.000 até 10.000.000,de 50 até 100,0,-
93,15.057.926/0001-90,de 81.000 até 360.000,de 0 até 5,0,-
94,05.376.311/0001-73,de 360.000 até 1.500.000,de 10 até 50,0,-
95,08.953.166/0001-34,de 1.500.000 até 4.800.000,de 10 até 50,0,-
96,05.703.627/0001-22,de 10.000.000 até 30.000.000,de 100 até 500,0,-
97,03.485.692/0001-01,de 10.000.000 até 30.000.000,de 50 até 100,0,-
98,09.649.019/0001-38,de 81.000 até 360.000,de 10 até 50,65,"1.001.458,69"
99,04.444.171/0001-60,de 10.000.000 até 30.000.000,de 100 até 500,0,-
100,02.791.452/0001-64,de 1.500.000 até 4.800.000,de 10 até 50,0,-
101,01.419.915/0001-07,de 360.000 até 1.500.000,de 5 até 10,0,-
102,75.048.611/0001-09,de 4.800.000 até 10.000.000,de 100 até 500,23,"592.357,32"
103,10.979.752/0001-08,de 1.500.000 até 4.800.000,de 10 até 50,0,-
104,08.278.672/0001-75,de 30.000.000 até 100.000.000,de 10 até 50,229,"1.896.772,11"
105,16.437.064/0001-94,de 1.500.000 até 4.800.000,de 50 até 100,582,"4.602.115,30"
106,16.433.946/0001-81,de 81.000 até 360.000,de 0 até 5,16,"106.281,34"
107,02.888.241/0001-44,de 360.000 até 1.500.000,de 10 até 50,0,-
108,07.083.668/0001-99,de 1.500.000 até 4.800.000,de 10 até 50,0,-
109,07.622.613/0001-00,de 1.500.000 até 4.800.000,de 10 até 50,1,"80,00"
110,79.024.501/0001-68,de 1.500.000 até 4.800.000,de 10 até 50,98,"568.734,45"
111,10.374.537/0001-75,de 10.000.000 até 30.000.000,de 50 até 100,3,"22.185,88"
112,06.938.426/0001-77,de 0 até 81.000,de 100 até 500,45,"91.524,54"
113,04.861.226/0001-38,de 1.500.000 até 4.800.000,de 100 até 500,73,"1.815.406,94"
114,01.956.679/0001-50,de 4.800.000 até 10.000.000,de 50 até 100,0,-
115,17.713.089/0001-36,de 4.800.000 até 10.000.000,de 50 até 100,32,"1.207.290,80"
116,83.284.158/0001-68,de 360.000 até 1.500.000,de 10 até 50,33,"81.596,47"
117,01.322.816/0001-02,de 30.000.000 até 100.000.000,de 50 até 100,0,-
118,79.022.877/0001-33,de 30.000.000 até 100.000.000,de 50 até 100,1,"448,00"
119,00.478.490/0001-36,de 1.500.000 até 4.800.000,de 10 até 50,0,-
120,09.465.904/0001-67,de 4.800.000 até 10.000.000,de 50 até 100,0,-
121,80.391.956/0001-09,de 10.000.000 até 30.000.000,de 100 até 500,18,"4.149.908,71"
122,76.096.155/0001-35,de 1.500.000 até 4.800.000,de 10 até 50,18,"28.753,40"
123,02.147.467/0001-94,acima de 1.000.000.000,de 100 até 500,22,"104.828,44"
124,85.053.296/0001-61,de 10.000.000 até 30.000.000,de 50 até 100,85,"6.678.936,30"
125,79.691.556/0001-21,de 1.500.000 até 4.800.000,de 10 até 50,29,"1.192.302,98"
126,04.340.373/0001-62,de 1.500.000 até 4.800.000,de 10 até 50,0,-
127,03.409.347/0001-80,de 1.500.000 até 4.800.000,de 10 até 50,0,-
128,00.126.674/0001-37,de 10.000.000 até 30.000.000,de 50 até 100,0,-
129,82.700.808/0001-46,de 10.000.000 até 30.000.000,de 50 até 100,0,-
130,03.314.111/0001-60,de 1.500.000 até 4.800.000,de 10 até 50,0,-
131,07.162.964/0001-85,de 4.800.000 até 10.000.000,de 50 até 100,0,-
132,15.585.840/0001-30,de 0 até 81.000,de 10 até 50,227,"1.393.990,85"
133,03.554.317/0001-68,de 1.500.000 até 4.800.000,de 10 até 50,0,-
134,11.405.383/0001-02,de 360.000 até 1.500.000,de 10 até 50,?,"14.396,00"
135,85.324.846/0001-30,de 360.000 até 1.500.000,de 10 até 50,0,-
136,22.251.725/0001-95,de 10.000.000 até 30.000.000,de 50 até 100,0,-
137,10.334.206/0001-01,de 360.000 até 1.500.000,de 10 até 50,59,"1.046.918,32"
