,Nome,UfEndereco,ReceitaSituacao,ReceitaAbertura,ReceitaNaturezaJuridica,ReceitaSituacaoEspecial,ReceitaCapitalSocial,OpcaoTributaria,Porte,ReceitaAtividade,cnpj,Faturamento,Funcionarios,TotalProtesto,ValorProtesto
0,DICARLO MOVEIS E ACESSORIOS PARA CASA E LOJAS LTDA EM RECUPERACAO JUDICIAL,SC,ATIVA,1996-07-08T00:00:00.000,206-2 - Sociedade Empresária Limitada,,1500000.0,,DEMAIS,"31.02-1/00 Fabricação de móveis com predominância de metal
",01.314.776/0001-49,de 1.500.000 até 4.800.000,de 10 até 50,36,"9.196.456,58"
1,GSM - CENTRO DE RECICLAGEM E GESTAO AMBIENTAL DE RESIDUOS S/A,PR,ATIVA,1994-02-01T00:00:00.000,205-4 - Sociedade Anônima Fechada,,12220000.0,LUCRO REAL,DEMAIS,"46.87-7/03 Comércio atacadista de resíduos e sucatas metálicos
",00.061.315/0001-49,de 100.000.000 até 300.000.000,de 50 até 100,2,"64.680,62"
2,GIPLAS INDUSTRIA E COMERCIO LTDA,SC,ATIVA,1995-10-10T00:00:00.000,206-2 - Sociedade Empresária Limitada,,5500000.0,LUCRO PRESUMIDO,DEMAIS,"22.29-3/01 Fabricação de artefatos de material plástico para uso pessoal e doméstico
",00.863.529/0001-39,de 10.000.000 até 30.000.000,de 50 até 100,0,-
3,VEDAX INDUSTRIA E COMERCIO EIRELI,SC,ATIVA,1975-05-16T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,200000.0,LUCRO REAL,DEMAIS,"28.29-1/99 Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios
",83.109.579/0001-52,de 10.000.000 até 30.000.000,de 100 até 500,21,"28.991.636,43"
4,"WINTER,SELBACH, SEIDL & CIA.LTDA.",RS,ATIVA,1975-04-18T00:00:00.000,206-2 - Sociedade Empresária Limitada,,100000.0,SIMPLES NACIONAL,EPP,"23.42-7/02 Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos
",88.371.075/0001-20,de 1.500.000 até 4.800.000,de 10 até 50,0,-
5,ALENICE INDUSTRIA TEXTIL EIRELI,SC,ATIVA,1994-03-08T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,11500000.0,LUCRO PRESUMIDO,DEMAIS,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
",86.837.366/0001-35,de 30.000.000 até 100.000.000,de 100 até 500,0,-
6,GOLD SUL INDUSTRIA PLASTICA LTDA,RS,ATIVA,2009-07-02T00:00:00.000,206-2 - Sociedade Empresária Limitada,,1000000.0,,DEMAIS,"22.29-3/99 Fabricação de artefatos de material plástico para outros usos não especificados anteriormente
",10.955.794/0001-09,de 1.500.000 até 4.800.000,de 50 até 100,161,"2.631.535,36"
7,INTERMACH PECAS AUTOMOTIVAS LTDA,RS,ATIVA,1987-09-24T00:00:00.000,206-2 - Sociedade Empresária Limitada,,100000.0,,EPP,"29.41-7/00 Fabricação de peças e acessórios para o sistema motor de veículos automotores
",91.956.755/0001-10,de 1.500.000 até 4.800.000,de 10 até 50,0,-
8,GMA IND E COM DE ARTEFATOS PLASTICOS E METAIS LTDA,PR,ATIVA,1993-08-26T00:00:00.000,206-2 - Sociedade Empresária Limitada,,350000.0,LUCRO REAL,DEMAIS,"22.29-3/01 Fabricação de artefatos de material plástico para uso pessoal e doméstico
",73.282.196/0001-28,de 0 até 81.000,de 10 até 50,153,"10.800.919,07"
9,VITALMAR COMERCIO E INDUSTRIA DE PESCADOS LTDA,SC,ATIVA,1995-09-27T00:00:00.000,206-2 - Sociedade Empresária Limitada,,14000000.0,,DEMAIS,"10.20-1/01 Preservação de peixes, crustáceos e moluscos
",00.826.619/0001-50,de 30.000.000 até 100.000.000,de 100 até 500,27,"9.281.259,35"
