,_id,8_TOTAL_FALENCIA_REQ,8_TOTAL_FALENCIA__CONC,7_TOTAL_COMMITMENTS,7_TEND_CRESCIMENTO_VENCIDOS,7_VALOR_TOTAL_VENCIDOS,7_TEND_CRESCIMENTO_A_VENCER,7_VALOR_TOTAL_A_VENCER,7_TEND_CRESCIMENTO_TOTAL,7_VALOR_TOTAL_TOTAL,7_POSSUI_CRESCIMENTO,ACAO JUDICIAL,6_TOTAL_PAGAMENTOS,6_PAGAMENTO_PERCENT_15,6_PAGAMENTO_VALOR_15,6_PAGAMENTO_TEND_CRES_15,6_PAGAMENTO_PERCENT_30,6_PAGAMENTO_VALOR_30,6_PAGAMENTO_TEND_CRES_30,6_PAGAMENTO_PERCENT_60,6_PAGAMENTO_VALOR_60,6_PAGAMENTO_TEND_CRES_60,6_PAGAMENTO_PERCENT_+60,6_PAGAMENTO_VALOR_+60,6_PAGAMENTO_TEND_CRES_+60,6_PAGAMENTO_PERCENT_A_VISTA,6_PAGAMENTO_VALOR_A_VISTA,6_PAGAMENTO_TEND_CRES_A_VISTA,6_PRESENCA_PAGAMENTOS,PROTESTO,1_TOTAL_FACTORINGS,1_FREQUENCIA_CONSULTAS,1_FREQUENCIA_CONSULTAS_FACTORING,2_TENDENCIA_CRESCIMENTO,2_ACIMA_MEDIA,2_TOTAL_CONSULTAS,2_TOTAL_CONSULTAS_PONDERADA,2_POSSUI_CRESCIMENTO,REFIN,PEFIN,DIVIDA VENCIDA,result,cnpj,txt_file,prediction,classification,FALENCIA,10_TOTAL_PROTESTOS,10_STD_VALOR,10_MEDIA_VALOR,10_FREQUENCIA_PROTESTO,3_ULTIMA_MODALIDADE,3_MODALIDADE_MAIS_PRESENTE,3_FREQUENCIA_DEBITO,3_VALOR_DEBITO,3_QUANTIDADE_DEBITO,4_ULTIMA_MODALIDADE,4_MODALIDADE_MAIS_PRESENTE,4_FREQUENCIA_DEBITO,4_VALOR_DEBITO,4_QUANTIDADE_DEBITO,4_TOTAL_FACTORINGS_DEBITO,5_ULTIMA_MODALIDADE,5_MODALIDADE_MAIS_PRESENTE,5_FREQUENCIA_DEBITO,5_VALOR_DEBITO,5_QUANTIDADE_DEBITO,9_NATUREZA_MAIS_PRESENTE,9_TOTAL_ACAO_JUDICIAL,9_VALOR_TOTAL,9_FREQUENCIA_ACAO_JUDICIAL,HISTORICO DE PAGAMENTOS NO MERCADO,data_consulta,Faturamento,Funcionarios,Nome,OpcaoTributaria,Porte,ReceitaAbertura,ReceitaAtividade,ReceitaCapitalSocial,ReceitaNaturezaJuridica,ReceitaSituacao,ReceitaSituacaoEspecial,TotalProtesto,UfEndereco,ValorProtesto
0,60abc21ebda6ffc70490b84a,1.0,1.0,14.0,1.0,3000000.0,0.0,51000000.0,0.0,55000000.0,4.6,,14.0,7.0,350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1380000.0,0.0,33.599999999999994,,1.0,,,0.0,1.0,1794.0,265.0,0.0,,,,1.0,01314776000149,DataBase/1314776000149.txt,0.631578947368421,Bom,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-05 12:10:42,,,DICARLO MOVEIS E ACESSORIOS PARA CASA E LOJAS LTDA EM RECUPERACAO JUDICIAL,,DEMAIS,1996-07-08T00:00:00.000,"31.02-1/00 Fabricação de móveis com predominância de metal
",1500000.0,206-2 - Sociedade Empresária Limitada,ATIVA,,36,SC,"9.196.456,58"
1,60abc21ebda6ffc70490b84b,,,14.0,1.0,210000000.0,0.0,28800000.0,1.0,210000000.0,4.6,,14.0,21.0,815000.0,0.0,21.0,132500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,2078500.0,0.0,33.599999999999994,,1.0,,,0.0,0.0,2226.0,291.0,0.0,,,,0.0,00061315000149,DataBase/61315000149.txt,0.631578947368421,Bom,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-28 00:00:00,,,,,,,,,,,,,,
2,60abc21ebda6ffc70490b84c,,,0.0,,,,,,,0.0,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,321000.0,0.0,72.0,,1.0,,,1.0,1.0,813.0,122.0,0.0,,,,1.0,00863529000139,DataBase/863529000139.txt,0.5080645161290323,Medio,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-28 18:20:59,,,GIPLAS INDUSTRIA E COMERCIO LTDA,LUCRO PRESUMIDO,DEMAIS,1995-10-10T00:00:00.000,"22.29-3/01 Fabricação de artefatos de material plástico para uso pessoal e doméstico
",5500000.0,206-2 - Sociedade Empresária Limitada,ATIVA,,0,SC,-
3,60abc21ebda6ffc70490b84e,,,0.0,,0.0,,0.0,,0.0,0.0,,16.0,18.0,2521000.0,1.0,6.0,2389205000.0,1.0,0.0,0.0,1.0,12.0,2643000.0,1.0,12.0,1732000.0,1.0,38.39999999999999,,4.0,1.0,2.0,1.0,1.0,1428.0,223.0,0.0,,,,0.0,86837366000135,DataBase/SERASA-R1010342.txt,0.5080645161290323,Medio,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-24 17:41:50,de 30.000.000 até 100.000.000,de 100 até 500,ALENICE INDUSTRIA TEXTIL EIRELI,LUCRO PRESUMIDO,DEMAIS,1994-03-08T00:00:00.000,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
",11500000.0,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),ATIVA,,0,SC,-
4,60abc21ebda6ffc70490b851,,,14.0,0.0,892406.0,0.0,2888346.0,0.0,3780752.0,4.6,,12.0,8.0,182393000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,25.0,31211000.0,0.0,25.0,18744000.0,0.0,28.799999999999994,,0.0,4.0,,0.0,1.0,931.0,132.0,1.0,,,,0.0,73282196000128,DataBase/SERASA-R1026162.txt,0.631578947368421,Bom,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-24 17:41:50,,,GMA IND E COM DE ARTEFATOS PLASTICOS E METAIS LTDA,LUCRO REAL,DEMAIS,1993-08-26T00:00:00.000,"22.29-3/01 Fabricação de artefatos de material plástico para uso pessoal e doméstico
",350000.0,206-2 - Sociedade Empresária Limitada,ATIVA,,153,PR,"10.800.919,07"
5,60abc21ebda6ffc70490b852,,,14.0,1.0,1278050.0,0.0,2922364.0,0.0,2951664.0,4.6,,16.0,25.0,23598000.0,1.0,25.0,152628000.0,1.0,18.0,82035000.0,0.0,0.0,0.0,1.0,25.0,10624000.0,0.0,38.39999999999999,,1.0,2.0,,0.0,1.0,1810.0,278.0,0.0,,,,1.0,00826619000150,DataBase/SERASA-R1039134.txt,0.631578947368421,Bom,,5.0,106.82368651193424,20478.4,8.0,EMPRESTIMO,EMPRESTIMO,31.0,391377.0,5.0,,,,,,,,,,,,FISCAL ESTADUAL,5.0,0.0,249.0,,2019-09-24 17:41:50,,,VITALMAR COMERCIO E INDUSTRIA DE PESCADOS LTDA,,DEMAIS,1995-09-27T00:00:00.000,"10.20-1/01 Preservação de peixes, crustáceos e moluscos
",14000000.0,206-2 - Sociedade Empresária Limitada,ATIVA,,27,SC,"9.281.259,35"
6,60abc21ebda6ffc70490b854,,,0.0,,0.0,,0.0,,0.0,0.0,,16.0,18.0,587946000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,38.39999999999999,,2.0,2.0,1.0,1.0,1.0,249.0,40.0,0.0,,,,0.0,73305815000152,DataBase/SERASA-R1045002.txt,0.3684210526315789,Ruim,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-01 19:18:54,,,DIPRORAMA IND. E COM. DE NUTRICAO ANIMAL LTDA,,DEMAIS,1993-08-04T00:00:00.000,"10.66-0/00 Fabricação de alimentos para animais
",220000.0,206-2 - Sociedade Empresária Limitada,ATIVA,,0,SC,-
7,60abc21ebda6ffc70490b856,,,0.0,,0.0,,0.0,,0.0,0.0,,16.0,87.0,2606000.0,0.0,81.0,2375000.0,1.0,68.0,7769000.0,1.0,62.0,961000.0,1.0,87.0,304000.0,0.0,38.39999999999999,,0.0,1.0,,0.0,1.0,5547.0,897.0,0.0,,,,1.0,86365350000177,DataBase/SERASA-R1049206.txt,0.5080645161290323,Medio,,,,,,,,,,,DUPLICATA,DUPLICATA,21.0,48328.0,5.0,0.0,DEV,DEV,31.0,38980.0,5.0,FISCAL MUNICIPAL,4.0,0.0,104.0,,2019-10-02 13:40:13,,,SANTA RITA - COMERCIO E INSTALACOES LTDA.,LUCRO REAL,DEMAIS,1969-12-31T00:00:00.000,"47.44-0/99 Comércio varejista de materiais de construção em geral
",18700000.0,206-2 - Sociedade Empresária Limitada,ATIVA,,122,SC,"2.186.664,80"
8,60abc21ebda6ffc70490b857,,,0.0,,0.0,,0.0,,0.0,0.0,,16.0,100.0,1032657000.0,1.0,93.0,678858000.0,0.0,81.0,2406998000.0,1.0,25.0,10508000.0,0.0,93.0,674000.0,0.0,38.39999999999999,,0.0,1.0,,1.0,1.0,3637.0,573.0,0.0,,,,1.0,05145957000140,DataBase/SERASA-R1052774.txt,0.5080645161290323,Medio,,,,,,EMPRES.CONTA,EMPRES.CONTA,,38486.0,1.0,NOTA FISCAL,NOTA FISCAL,1.0,22241.0,3.0,0.0,,,,,,,,,,,2019-12-16 18:15:16,,,BRUNO INDUSTRIAL LTDA,LUCRO REAL,DEMAIS,2002-07-09T00:00:00.000,"28.69-1/00 Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios
",300000.0,206-2 - Sociedade Empresária Limitada,ATIVA,,4,SC,"3.286.590,86"
9,60abc21ebda6ffc70490b859,,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,10.0,,0.0,1.0,452.0,67.0,0.0,,,,1.0,08895701000148,DataBase/SERASA-R1058662.txt,0.3684210526315789,Ruim,,,,,,CRED.CARTAO,CRED.CARTAO,,113013.0,1.0,OUTRAS OPER,OUTRAS OPER,,2776.0,1.0,1.0,,,,,,,,,,,2019-09-05 00:00:00,,,,,,,,,,,,,,
